Sample File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,,,,,IBM,,,,,,,GOOGL,,,,,,,CSCO,,,,,,,ADM,,,,,,,NKE,,,,,
Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume
2000-10-24,1395.780029,1415.640015,1388.130005,1398.130005,1158600000,,2000-10-24,93,94.375,90.1875,91.4375,8826200,,,,,,,,,2000-10-24,93,94.375,90.1875,69.412045,8826200,,2000-10-24,9.625,9.999999,9.562499,6.877916,1737400,,2000-10-24,37,37.5,36.5,3.873121,9598400
2000-10-23,1396.930054,1406.959961,1387.75,1395.780029,1046800000,,2000-10-23,94.75,95,91.0625,92.875,9338600,,,,,,,,,2000-10-23,94.75,95,91.0625,70.50328,9338600,,2000-10-23,9.625,9.812499,9.499999,6.66163,835300,,2000-10-23,37.3125,37.3125,34.9375,3.801275,14903200
2000-10-20,1388.76001,1408.469971,1382.189941,1396.930054,1177400000,,2000-10-20,95.125,96.25,94.1875,94.75,9369200,,,,,,,,,2000-10-20,95.125,96.25,94.1875,71.92663,9369200,,2000-10-20,9.499999,9.6875,9.4375,6.66163,1379400,,2000-10-20,37.375,37.75,36.4375,3.873121,5117600
2000-10-19,1342.130005,1389.930054,1342.130005,1388.76001,1297900000,,2000-10-19,98,98.5,92.6875,96.4375,17966900,,,,,,,,,2000-10-19,98,98.5,92.6875,73.207645,17966900,,2000-10-19,9.749999,9.875,9.375,6.575115,2099200,,2000-10-19,37.9375,38.5625,37.8125,4.01028,7110400
2000-10-18,1349.969971,1356.650024,1305.790039,1342.130005,1441700000,,2000-10-18,96.75,99.125,90.25,95.4375,29777800,,,,,,,,,2000-10-18,96.75,99.125,90.25,72.448525,29777800,,2000-10-18,9.812499,9.875,9.4375,6.66163,1696600,,2000-10-18,36.8125,38.1875,36.5625,3.944966,15689600
2000-10-17,1374.619995,1380.98999,1342.339966,1349.969971,1161500000,,2000-10-17,111.9375,113.875,108.5625,113,8882500,,,,,,,,,2000-10-17,111.9375,113.875,108.5625,85.780572,8882500,,2000-10-17,9.9375,9.9375,9.812499,6.834659,1851000,,2000-10-17,40.125,40.375,37.625,3.971092,26293600
2000-10-16,1374.170044,1379.47998,1365.060059,1374.619995,1005400000,,2000-10-16,111.5,113.125,108.5625,111.125,7710400,,,,,,,,,2000-10-16,111.5,113.125,108.5625,84.357222,7710400,,2000-10-16,9.875,9.999999,9.749999,6.834659,2523700,,2000-10-16,38.375,40.4375,38,4.121314,4953600
2000-10-13,1329.780029,1374.170044,1327.079956,1374.170044,1223900000,,2000-10-13,104.1875,110.4375,104.1875,109.0625,9092600,,,,,,,,,2000-10-13,104.1875,110.4375,104.1875,82.791537,9092600,,2000-10-13,9.1875,9.562499,9.125,6.618372,1280000,,2000-10-13,38.3125,39.4375,38.1875,4.023343,3441600
2000-10-12,1364.589966,1374.930054,1328.060059,1329.780029,1388600000,,2000-10-12,114.25,114.375,103.125,103.125,9704900,,,,,,,,,2000-10-12,114.25,114.375,103.125,78.284261,9704900,,2000-10-12,9.6875,9.6875,8.999999,6.402085,2267400,,2000-10-12,38.9375,38.9375,37.5,4.01028,3619200
2000-10-11,1387.02002,1387.02002,1349.670044,1364.589966,1387500000,,2000-10-11,111.875,112.9375,107.5,112,8775800,,,,,,,,,2000-10-11,111.875,112.9375,107.5,85.021452,8775800,,2000-10-11,9.625,9.6875,9.4375,6.618372,1537700,,2000-10-11,39.4375,40.1875,38.8125,4.069063,6432800
